,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
24,328,Monero,XMR,monero,258,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,18371033.83202865,18371033.83202865,True,,25,,,,2023-12-14T20:34:00.000Z,167.3019263212791,94152058.60559508,-7.0859,-0.18625258,-1.10989508,-4.91838687,2.86888835,9.34494302,13.67588056,3073509348.6117826,0.1904,3073509348.61,,2023-12-14T20:34:00.000Z,,,,,,2023-12-14 15:36:36.879321
25,1321,Ethereum Classic,ETC,ethereum-classic,474,2016-07-24T00:00:00.000Z,"['mineable', 'pow', 'ethash', 'platform', 'smart-contracts', 'dcg-portfolio']",210700000.0,144523960.8303473,210700000.0,False,,26,,,,2023-12-14T20:35:00.000Z,20.58969420389175,218329222.12016094,19.2549,-0.13668827,0.3892421,-5.09964449,8.04115911,37.54488848,33.31957967,2975704158.63208,0.1843,4338248568.76,,2023-12-14T20:35:00.000Z,,,,,,2023-12-14 15:36:36.879321
26,8916,Internet Computer,ICP,internet-computer,182,2021-03-23T00:00:00.000Z,"['platform', 'ai-big-data', 'distributed-computing', 'collectibles-nfts', 'defi', 'privacy', 'interoperability', 'smart-contracts', 'dao', 'wallet', 'storage', 'polychain-capital-portfolio', 'governance', 'launchpad', 'lending-borowing', 'metaverse', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'internet-computer-ecosystem', 'bitcoin-ecosystem', 'real-world-assets', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",,451162657.3873456,511194779.70452183,True,,27,451162657.3873456,2920756772.657558,,2023-12-14T20:34:00.000Z,6.473844244050418,133741193.50789241,0.258,-0.23336414,5.24716934,29.44492639,52.81121914,105.92994616,118.9628536,2920756772.657558,0.1808,3309395382.18,,2023-12-14T20:34:00.000Z,,,,,,2023-12-14 15:36:36.879321
27,10603,Immutable,IMX,immutable-x,221,2021-06-24T00:00:00.000Z,"['collectibles-nfts', 'zero-knowledge-proofs', 'gaming', 'scaling', 'layer-2', 'rollups', 'arrington-xrp-capital-portfolio', 'alameda-research-portfolio']",2000000000.0,1288194242.490024,2000000000.0,False,,28,570354831.0,1247112728.8959281,,2023-12-14T20:35:00.000Z,2.1865559141655244,245632625.76487908,8.9793,0.44626554,5.4908895,47.40977558,96.24087336,312.91604628,333.03101958,2816708739.51054,0.1745,4373111828.33,,2023-12-14T20:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,2023-12-14 15:36:36.879321
28,20396,Kaspa,KAS,kaspa,70,2022-06-01T00:03:58.000Z,"['mineable', 'dag', 'pow', 'store-of-value', 'polychain-capital-portfolio', 'layer-1']",28700000000.0,21921945960.667114,21921945373.33798,False,,29,,,,2023-12-14T20:34:00.000Z,0.1274709223813098,54015437.10968463,0.4844,0.19800605,-0.95979941,-1.66151712,42.30779341,197.12798679,162.56457278,2794410671.9994655,0.173,3658415472.34,,2023-12-14T20:34:00.000Z,,,,,,2023-12-14 15:36:36.879321
29,4642,Hedera,HBAR,hedera,200,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'payments', 'dcg-portfolio', 'hedera-hashgraph-ecosystem', 'layer-1']",50000000000.0,33576848013.391865,50000000000.0,False,,30,,,,2023-12-14T20:34:00.000Z,0.08208032035563156,116385591.5341952,-6.4228,0.02223336,5.40525437,20.56646908,41.61683191,74.89551288,61.70953109,2755998441.4715557,0.1707,4104016017.78,,2023-12-14T20:34:00.000Z,,,,,,2023-12-14 15:36:36.879321
30,3635,Cronos,CRO,cronos,220,2018-12-14T00:00:00.000Z,"['medium-of-exchange', 'cosmos-ecosystem', 'centralized-exchange', 'mobile', 'payments', 'injective-ecosystem']",30263013692.0,25263013692.0,30263013692.0,False,,31,,,,2023-12-14T20:34:00.000Z,0.1026390847154694,18170998.5832536,-1.0302,0.04323108,1.27744151,9.54756007,16.94455146,96.57551719,102.94713973,2592972602.501251,0.1606,3106168026.08,,2023-12-14T20:34:00.000Z,,,,,,2023-12-14 15:36:36.879321
31,7226,Injective,INJ,injective,242,2020-09-29T00:00:00.000Z,"['pos', 'platform', 'cosmos-ecosystem', 'ai-big-data', 'defi', 'smart-contracts', 'cosmos', 'binance-smart-chain', 'binance-launchpad', 'binance-labs-portfolio', 'cms-holdings-portfolio', 'pantera-capital-portfolio', 'web3', 'injective-ecosystem']",,83755555.66,100000000.0,False,,32,,,,2023-12-14T20:35:00.000Z,30.89618689763129,450739593.91440254,47.205,-0.55825337,8.33364638,73.18131812,101.46130492,300.68338676,329.52095151,2587727301.38632,0.1602,3089618689.76,,2023-12-14T20:35:00.000Z,7226.0,INJ,INJ,injective,inj,2023-12-14 15:36:36.879321
32,21794,Aptos,APT,aptos,289,2022-10-19T01:50:25.000Z,"['binance-labs-portfolio', 'aptos-ecosystem', 'circle-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,304607003.68596363,1070400481.6840348,True,,33,130000000.0,1077917700.14789,,2023-12-14T20:35:00.000Z,8.291674616522231,261527833.83142638,-21.9221,-0.63598255,-3.4794992,5.35566309,16.70358894,69.03330397,58.6389376,2525702160.4777985,0.1564,8875412503.49,,2023-12-14T20:35:00.000Z,,,,,,2023-12-14 15:36:36.879321
33,2563,TrueUSD,TUSD,trueusd,502,2018-03-06T00:00:00.000Z,"['store-of-value', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'arbitrum-ecosytem', 'bnb-chain', 'usd-stablecoin']",,2462896872.14,2462896872.14,False,,34,,,,2023-12-14T20:34:00.000Z,0.9993102705988385,201840825.43016618,11.0243,-0.04385433,-0.17284413,0.13424812,0.07480667,-0.04049157,0.01551412,2461198139.755256,0.1524,2461198139.76,,2023-12-14T20:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0x0000000000085d4780B73119b644AE5ecd22b376,2023-12-14 15:36:36.879321
